Variable,Coef,VIF,Var(beta),Qj,Ij
X1,3.235737362464632,338.03388517346025,0.40422392191705797,0.1275467687190154,6.56621121891533
X2,0.8496065629102741,337.8782029872123,0.44581327082969163,0.14066966120340074,6.8941433363562306
X3,2.181758368479912,350.06043792486287,0.4060477015492049,0.1281222349057584,6.697053505760719
X4,-0.1888757526287992,350.18610525016754,0.45089428079219646,0.1422728973490329,7.058469508704753
X5,1.5226684428681385,1.0129891314470916,0.0010995094059154278,0.00034693362836020497,0.018746732911694028
X6,-1.1146620228269404,5459.055178378856,6.343214118574676,2.0015056513232445,104.52908585848584
X7,-0.8435568535749957,407.97161719748607,0.47591449205798964,0.15016764807156394,7.82714112780004
X8,5.067047266655451,407.9879701800714,11.902847414472735,3.7557641791002045,39.14468806755413
X9,2.1681113815722304,5459.402971344515,11.261003905846279,3.553240129656694,139.278748277504
X10,-0.003737819301590707,1.011716437834015,0.001153267048922237,0.0003638960427243796,0.019187485715616934
